Fusion Method,MAE,ACC7,ACC5,ACC2,Corr,F1
ConcatEarly,0.6178,0.4424,0.5221,0.8084,0.6652,0.8475
ConcatLate,0.6148,0.4508,0.5162,0.8084,0.6637,0.8460
LowRankTensorFusion,0.5970,0.4585,0.5409,0.8305,0.6925,0.8638
TensorFusion,0.6022,0.4445,0.5256,0.8244,0.6776,0.8626
TransformerEarly,0.6057,0.4514,0.5327,0.8206,0.6788,0.8604
TransformerLate,0.5846,0.4675,0.5460,0.8393,0.7041,0.8699
